Player,Year,Team,Stat Type
Deon Jackson,2018,DUKE,Kickoff Return
Matt Guidry,2018,UTSA,Kickoff Return
Austin Walter,2018,RICE,Kickoff Return
Darrynton Evans,2018,APST,Kickoff Return
Velus Jones Jr.,2018,USC,Kickoff Return
Malik Dunner,2018,BALL,Kickoff Return
Anthony Hawkins,2018,CSU,Kickoff Return
Bentlee Sanders,2018,USF,Kickoff Return
Keyion Dixon,2018,CONN,Kickoff Return
Ra'veion Hargrove,2018,BGSU,Kickoff Return
Joshua Jacobs,2018,ALA,Kickoff Return
Jashaun Corbin,2018,TAMU,Kickoff Return
Clyde Edwards-Helaire,2018,LSU,Kickoff Return
Andre Wilson,2018,UAB,Kickoff Return
Diontae Johnson,2018,TOL,Kickoff Return
Ambry Thomas,2018,MICH,Kickoff Return
Javon Leake,2018,MD,Kickoff Return
Justice Augafa,2018,HAW,Kickoff Return
De'Vion Warren,2018,ARK,Kickoff Return
Juwan Washington,2018,SDSU,Kickoff Return
Anthony Scott,2018,ECU,Kickoff Return
Marcus Green,2018,ULM,Kickoff Return
Austin Trammell,2018,RICE,Kickoff Return
Ty Johnson,2018,MD,Kickoff Return
Josh Fleeks,2018,BAY,Kickoff Return
Aaron McAllister,2018,CHAR,Kickoff Return
Greg Dortch,2018,WF,Kickoff Return
Maurice Trowell,2018,NCST,Kickoff Return
Terius Wheatley,2018,VT,Kickoff Return
Sean Riley,2018,SYR,Kickoff Return
DeeJay Dallas,2018,MIA,Kickoff Return
Ceneca Espinoza Jr.,2018,LIB,Kickoff Return
Mecole Hardman,2018,UGA,Kickoff Return
Ky'Jon Tyler,2018,CCU,Kickoff Return
Isaih Pacheco,2018,RUT,Kickoff Return
Keion Davis,2018,MRSH,Kickoff Return
Brandon Aiyuk,2018,AZST,Kickoff Return
Elijah Dale,2018,HAW,Kickoff Return
DeAndre Torrey,2018,UNT,Kickoff Return
Dre Brown,2018,ILL,Kickoff Return
Jabir Daughtry-Frye,2018,TROY,Kickoff Return
Kyric McGowan,2018,NW,Kickoff Return
KaVontae Turpin,2018,TCU,Kickoff Return
De'Michael Harris,2018,USM,Kickoff Return
