Player,Team,Year,Att,Cmp,Pct,Yds,TD,TD%,Int,Sack,Rate,Stat Type
Nathan Scheelhaase,ILL,2013,430,287,66.7,"3,272",21,4.9,13,27,140.7,Passing
Tommy Rees,ND,2013,414,224,54.1,"3,257",27,6.5,13,8,135.4,Passing
Corey Robinson,TROY,2013,421,285,67.7,"3,219",20,4.8,9,18,143.3,Passing
John O'Korn,HOU,2013,446,259,58.1,"3,117",28,6.3,10,25,133.0,Passing
Zach Mettenberger,LSU,2013,296,192,64.9,"3,082",22,7.4,8,21,171.4,Passing
Aaron Murray,UGA,2013,347,225,64.8,"3,075",26,7.5,9,13,158.8,Passing
Brett Hundley,UCLA,2013,371,248,66.8,"3,071",24,6.5,9,35,152.9,Passing
A.J. McCarron,ALA,2013,336,226,67.3,"3,063",28,8.3,7,17,167.2,Passing
Stephen Morris,MIA,2013,344,198,57.6,"3,028",21,6.1,12,15,144.7,Passing
Quinn Kaehler,SDSU,2013,389,232,59.6,"3,007",19,4.9,9,26,136.1,Passing
Cody Kessler,USC,2013,361,236,65.4,"2,968",20,5.5,7,30,148.8,Passing
Keith Price,WASH,2013,352,233,66.2,"2,966",21,6.0,6,27,153.3,Passing
Devin Gardner,MICH,2013,345,208,60.3,"2,960",21,6.1,11,34,146.1,Passing
Sean Schroeder,HAW,2013,376,233,62.0,"2,960",28,7.4,14,24,145.2,Passing
Tom Savage,PITT,2013,389,238,61.2,"2,958",21,5.4,9,43,138.2,Passing
Christian Hackenberg,PSU,2013,392,231,58.9,"2,955",20,5.1,10,21,134.0,Passing
Taysom Hill,BYU,2013,438,236,53.9,"2,938",19,4.3,14,37,118.1,Passing
Logan Thomas,VT,2013,402,227,56.5,"2,907",16,4.0,13,29,123.9,Passing
Derek Thompson,UNT,2013,390,251,64.4,"2,896",16,4.1,13,11,133.6,Passing
Jordan Lynch,NIU,2013,404,253,62.6,"2,892",24,5.9,8,10,138.4,Passing
Brandon Doughty,WKU,2013,374,246,65.8,"2,857",14,3.7,14,19,134.8,Passing
Tyler Tettleton,OHIO,2013,371,230,62.0,"2,851",21,5.7,12,14,138.8,Passing
Joe Licata,BUFF,2013,402,233,58.0,"2,824",24,6.0,8,19,132.7,Passing
Connor Cook,MSU,2013,380,223,58.7,"2,755",22,5.8,6,16,135.5,Passing
