Player,Year,Team,Stat Type
Chandler Staton,2018,APST,Kicking
Jose Borregales,2018,FIU,Kicking
Spencer Evans,2018,PUR,Kicking
Chase McLaughlin,2018,ILL,Kicking
Nick Vogel,2018,UAB,Kicking
Emmit Carpenter,2018,MINN,Kicking
Crews Holt,2018,MTSU,Kicking
Haden Hoggarth,2018,BSU,Kicking
Dalton Witherspoon,2018,HOU,Kicking
Justin Yoon,2018,ND,Kicking
Peyton Henry,2018,WASH,Kicking
Ryan Meskell,2018,HAW,Kicking
Blake Mazza,2018,WSU,Kicking
Anders Carlson,2018,AUB,Kicking
Justin Rohrwasser,2018,MRSH,Kicking
Will Mobley,2018,TEM,Kicking
Ryley Guay,2018,VAN,Kicking
Connor Limpert,2018,ARK,Kicking
Ramiz Ahmed,2018,NEV,Kicking
Freeman Jones,2018,UNC,Kicking
Connor Martin,2018,BAY,Kicking
Connor Assalley,2018,IAST,Kicking
Jake Verity,2018,ECU,Kicking
Parker White,2018,SCAR,Kicking
Bailey Hale,2018,LT,Kicking
Nick Rice,2018,ODU,Kicking
Brian Johnson,2018,VT,Kicking
Coby Weiss,2018,USF,Kicking
Matt Coghlin,2018,MSU,Kicking
Alex Kessman,2018,PITT,Kicking
John Baron II,2018,SDSU,Kicking
Jonathan Cruz,2018,CHAR,Kicking
Rafael Gaglianone,2018,WISC,Kicking
Adam Mitcheson,2018,BUFF,Kicking
Quinn Nordin,2018,MICH,Kicking
Jace Christmann,2018,MSST,Kicking
Blake Grupe,2018,ARST,Kicking
Logan Justus,2018,IND,Kicking
JJ Molson,2018,UCLA,Kicking
Chad Ryland,2018,EMU,Kicking
Joseph Petrino,2018,MD,Kicking
Cooper Rothe,2018,WYO,Kicking
Jet Toner,2018,STAN,Kicking
Collin Wareham,2018,DUKE,Kicking
Skyler Southam,2018,BYU,Kicking
Matthew Trickett,2018,KENT,Kicking
Barret Pickering,2018,NEB,Kicking
Bubba Baxa,2018,MIA,Kicking
Massimo Biscardi,2018,CCU,Kicking
Parker Shaunfield,2018,USM,Kicking
Jordan Choukair,2018,ORST,Kicking
Merek Glover,2018,TULN,Kicking
Samuel Sloman,2018,MIOH,Kicking
John Abercrombie,2018,ARMY,Kicking
Nick Gasser,2018,AKR,Kicking
Kevin Robledo,2018,SMU,Kicking
Gavin Peddie,2018,WMU,Kicking
Vladimir Rivas,2018,FAU,Kicking
Cole Smith,2018,CINN,Kicking
Andrew Gantz,2018,NIU,Kicking
Morgan Hagee,2018,BALL,Kicking
Greg Thomas,2018,CAL,Kicking
Bryce Crawford,2018,SJSU,Kicking
Blake Haubeil,2018,OSU,Kicking
Bennett Moehring,2018,NAVY,Kicking
Wesley Wells,2018,GT,Kicking
Dylan Brown,2018,NMST,Kicking
Craig Ford,2018,ULM,Kicking
Cooper Garcia,2018,MASS,Kicking
Gabriel Rui,2018,KAN,Kicking
