Player,Year,Team,Stat Type
Jacob Meeks,2018,ULM,Kickoff
Danny Longman,2018,BC,Kickoff
Matt Bonadies,2018,MTSU,Kickoff
Jared Smolar,2018,IND,Kickoff
Brad Davis,2018,ODU,Kickoff
Bailey Hale,2018,LT,Kickoff
John Parker Romo,2018,TULS,Kickoff
Joseph Petrino,2018,MD,Kickoff
Cole Hahn,2018,MSU,Kickoff
Freeman Jones,2018,UNC,Kickoff
Jesse Kelly,2018,EMU,Kickoff
Cole Bunce,2018,TCU,Kickoff
Drew Galitz,2018,BAY,Kickoff
Jake Koehnke,2018,AF,Kickoff
Connor Limpert,2018,ARK,Kickoff
Dylan Brown,2018,NMST,Kickoff
Chris Landgrebe,2018,CAL,Kickoff
Jonathan Doerer,2018,ND,Kickoff
Jonathan Cruz,2018,CHAR,Kickoff
Cooper Rothe,2018,WYO,Kickoff
Jerry Fitschen,2018,AKR,Kickoff
Jack Fox,2018,RICE,Kickoff
Paxton Brooks,2018,TENN,Kickoff
Kevin Robledo,2018,SMU,Kickoff
Logan Tyler,2018,FSU,Kickoff
Cooper Garcia,2018,MASS,Kickoff
Alex Rinella,2018,WKU,Kickoff
Danny Sutton,2018,UNM,Kickoff
Evan Pantels,2018,UNLV,Kickoff
Bryce Crawford,2018,SJSU,Kickoff
