Player,Year,Team,Stat Type
Allenzae Staggers,2016,USM,Punt Return
Terry Juniel,2016,UTEP,Punt Return
Austin Conway,2016,WYO,Punt Return
Trever Ryen,2016,IAST,Punt Return
Johnathon Johnson,2016,MIZZ,Punt Return
Jaire Alexander,2016,LOU,Punt Return
Tony Nicholson,2016,BAY,Punt Return
Tre'Davious White,2016,LSU,Punt Return
Alvin Kamara,2016,TENN,Punt Return
Corey Jones,2016,TOL,Punt Return
Montay Crockett,2016,GSU,Punt Return
Trent Taylor,2016,LT,Punt Return
Ryan Smith,2016,DUKE,Punt Return
Ray Ray McCloud,2016,CLEM,Punt Return
Robert Ruiz,2016,CSU,Punt Return
Nacarius Fant,2016,WKU,Punt Return
Cedarius Rookard,2016,TROY,Punt Return
De'Mornay Pierson-El,2016,NEB,Punt Return
Chris Johnson,2016,UCF,Punt Return
John Reid,2016,PSU,Punt Return
Keidrien Wadley,2016,TULS,Punt Return
Garrett Juergens,2016,BYU,Punt Return
Jaquil Capel,2016,APST,Punt Return
Teldrick Morgan,2016,MD,Punt Return
Brandon McDowell,2016,TXST,Punt Return
Isaiah Oliver,2016,COL,Punt Return
Cameron Batson,2016,TTU,Punt Return
Jesus Wilson,2016,FSU,Punt Return
Dominique Heath,2016,KSST,Punt Return
Kaleb Fossum,2016,WSU,Punt Return
Jay MacIntyre,2016,COL,Punt Return
Chris Davis,2016,UNM,Punt Return
Kalija Lipscomb,2016,VAN,Punt Return
Riley McCarron,2016,IOWA,Punt Return
Darrell Brown,2016,ODU,Punt Return
Thomas Owens,2016,FIU,Punt Return
Hyleck Foster,2016,MRSH,Punt Return
Cedrick Wilson,2016,BSU,Punt Return
Flynn Nagel,2016,NW,Punt Return
Jamal Morrow,2016,WSU,Punt Return
Trevon Diggs,2016,ALA,Punt Return
Mitchell Paige,2016,IND,Punt Return
Richie James,2016,MTSU,Punt Return
Greg Stroman,2016,VT,Punt Return
Brad Stewart,2016,GT,Punt Return
C.J. Sanders,2016,ND,Punt Return
KaVontae Turpin,2016,TCU,Punt Return
Charles Walker,2016,KY,Punt Return
Marquez Callaway,2016,TENN,Punt Return
Janarion Grant,2016,RUT,Punt Return
Jamarl Eiland,2016,BUFF,Punt Return
Charles Nelson,2016,ORE,Punt Return
Bra'Lon Cherry,2016,NCST,Punt Return
Dontre Wilson,2016,OSU,Punt Return
Ryan Switzer,2016,UNC,Punt Return
Xavian Marks,2016,ALA,Punt Return
Malik McGue,2016,ARMY,Punt Return
Desmon White,2016,TCU,Punt Return
Darius Mosely,2016,ILL,Punt Return
Jahad Thomas,2016,TEM,Punt Return
Andrew Celis,2016,NEV,Punt Return
Stephen Roberts,2016,AUB,Punt Return
Jazz Peavy,2016,WISC,Punt Return
Andrew Rodriguez,2016,USU,Punt Return
Turner Smiley,2016,UNT,Punt Return
Chris Black,2016,MIZZ,Punt Return
Tyquwan Glass,2016,FRES,Punt Return
Anthony Miller,2016,MEM,Punt Return
Christian McCaffrey,2016,STAN,Punt Return
Steven Peoples,2016,VT,Punt Return
Marcus Green,2016,ULM,Punt Return
Brandon Sowards,2016,MSU,Punt Return
C.J. Carroll,2016,VT,Punt Return
James Allen,2016,MASS,Punt Return
Barry Sanders,2016,OKST,Punt Return
JaBryce Taylor,2016,UTSA,Punt Return
Jared Cornelius,2016,ARK,Punt Return
Fred Ross,2016,MSST,Punt Return
Calvin Cass Jr.,2016,NAVY,Punt Return
Dede Westbrook,2016,OKLA,Punt Return
Mecole Hardman,2018,UGA,Punt Return
John Williams,2018,MEM,Punt Return
Amari Rodgers,2018,CLEM,Punt Return
Marcus Hayes,2018,UNM,Punt Return
Dazz Newsome,2018,UNC,Punt Return
Greg Dortch,2018,WF,Punt Return
Michael Walker,2018,BC,Punt Return
Sean Riley,2018,SYR,Punt Return
Ronnie Blackmon,2018,COL,Punt Return
D.J. Matthews,2018,FSU,Punt Return
K.J. Osborn,2018,BUFF,Punt Return
Donovan Peoples-Jones,2018,MICH,Punt Return
Isaiah Wright,2018,TEM,Punt Return
Diontae Johnson,2018,TOL,Punt Return
Kyle Groeneweg,2018,IOWA,Punt Return
Jaylen Waddle,2018,ALA,Punt Return
Warren Wand,2018,ARST,Punt Return
Freddie Swain,2018,FLA,Punt Return
Ugo Amadi,2018,ORE,Punt Return
Jeff Thomas,2018,MIA,Punt Return
Britain Covey,2018,UTAH,Punt Return
Maurice Alexander,2018,FIU,Punt Return
CeeDee Lamb,2018,OKLA,Punt Return
Ryan Davis,2018,AUB,Punt Return
Clifton Duck,2018,APST,Punt Return
Jayden Reed,2018,WMU,Punt Return
Blake Banham,2018,EMU,Punt Return
Roshauud Paul,2018,TAMU,Punt Return
Tyler Vaughns,2018,USC,Punt Return
Rodjay Burns,2018,LOU,Punt Return
